"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
1,,,,,"33 turas",,
2,"2019-11-27, 19:00","Atlantas","0 : 2","K. Žalgiris","2019-11-27, 19:00	 	Atlantas
	0 : 2	
K. Žalgiris	Klaipėdos dirbtinės dangos st.","Atlantas","K. Žalgiris"
3,"2019-11-27, 19:00","Sūduva","2 : 1","Žalgiris","2019-11-27, 19:00	 	Sūduva
	2 : 1	
Žalgiris	Marijampolės futbolo arenos stadionas","Žalgiris","Žalgiris"
4,"2019-11-27, 19:00","Panevėžys","2 : 0","Riteriai","2019-11-27, 19:00	 	Panevėžys
	2 : 0	
Riteriai	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
5,,,,,"32 turas",,
6,"2019-11-23, 13:00","Riteriai","5 : 1","Sūduva","2019-11-23, 13:00	 	Riteriai
	5 : 1	
Sūduva	LFF stadionas","Riteriai","Sūduva"
7,"2019-11-23, 13:00","K. Žalgiris","1 : 0","K. Žalgiris","2019-11-23, 13:00	 	K. Žalgiris
	1 : 0	
Panevėžys	LFF Kauno treniruočių centro st.","K. Žalgiris","Panevėžys"
8,"2019-11-22, 19:00","Atlantas","5 : 0","Atlantas","2019-11-22, 19:00	 	Žalgiris
	5 : 0	
Atlantas	LFF stadionas","Žalgiris","Atlantas"
9,,,,,"31 turas",,
10,"2019-11-09, 13:00","Sūduva","4 : 1","K. Žalgiris","2019-11-09, 13:00	 	Sūduva
	4 : 1	
K. Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","K. Žalgiris"
11,"2019-11-08, 19:00","Žalgiris","1 : 3","Riteriai","2019-11-08, 19:00	 	Žalgiris
	1 : 3	
Riteriai	LFF stadionas","Žalgiris","Riteriai"
12,"2019-11-08, 18:00","Atlantas","1 : 4","Panevėžys","2019-11-08, 18:00	 	Atlantas
	1 : 4	
Panevėžys	Klaipėdos dirbtinės dangos st.","Atlantas","Panevėžys"
13,,,,,"30 turas",,
14,"2019-11-04, 19:00","Atlantas","5 : 2","Atlantas","2019-11-04, 19:00	 	Riteriai
	5 : 2	
Atlantas	LFF stadionas","Riteriai","Atlantas"
15,"2019-11-04, 18:00","K. Žalgiris","1 : 2","K. Žalgiris","2019-11-04, 18:00	 	K. Žalgiris
	1 : 2	
Žalgiris	LFF Kauno treniruočių centro st.","Žalgiris","Žalgiris"
16,"2019-11-03, 17:00","Panevėžys","1 : 5","Sūduva","2019-11-03, 17:00	 	Panevėžys
	1 : 5	
Sūduva	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
17,,,,,"29 turas",,
18,"2019-10-31, 19:00","Riteriai","0 : 1","K. Žalgiris","2019-10-31, 19:00	 	Riteriai
	0 : 1	
K. Žalgiris	LFF stadionas","Riteriai","K. Žalgiris"
19,"2019-10-30, 19:00","Žalgiris","3 : 1","Panevėžys","2019-10-30, 19:00	 	Žalgiris
	3 : 1	
Panevėžys	LFF stadionas","Žalgiris","Panevėžys"
20,"2019-10-30, 18:00","Atlantas","9 : 1","Atlantas","2019-10-30, 18:00	 	Sūduva
	9 : 1	
Atlantas	Marijampolės futbolo arenos stadionas","Sūduva","Atlantas"
21,,,,,"28 turas",,
22,"2019-10-26, 13:00","K. Žalgiris","3 : 0","K. Žalgiris","2019-10-26, 13:00	 	K. Žalgiris
	3 : 0	
Stumbras	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Stumbras"
23,"2019-10-26, 13:00","Sūduva","1 : 0","Žalgiris","2019-10-26, 13:00	 	Sūduva
	1 : 0	
Žalgiris	Marijampolės futbolo arenos stadionas","Žalgiris","Žalgiris"
24,"2019-10-26, 13:00","Atlantas","0 : 1","Palanga","2019-10-26, 13:00	 	Atlantas
	0 : 1	
Palanga	Klaipėdos m. centrinis stadionas","Atlantas","Palanga"
25,"2019-10-26, 13:00","Riteriai","4 : 0","Panevėžys","2019-10-26, 13:00	 	Riteriai
	4 : 0	
Panevėžys	LFF stadionas","Riteriai","Panevėžys"
26,,,,,"21 turas",,
27,"2019-10-20, 19:00","Žalgiris","1 : 3","Sūduva","2019-10-20, 19:00	 	Žalgiris
	1 : 3	
Sūduva	LFF stadionas","Žalgiris","Sūduva"
28,,,,,"27 turas",,
29,"2019-10-19, 19:00","Žalgiris","3 : 0","Stumbras","2019-10-19, 19:00	 	Žalgiris
	3 : 0	
Stumbras	LFF stadionas","Žalgiris","Stumbras"
30,"2019-10-19, 17:00","Atlantas","1 : 1","Atlantas","2019-10-19, 17:00	 	Panevėžys
	1 : 1	
Atlantas	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
31,"2019-10-19, 13:00","Riteriai","0 : 0","K. Žalgiris","2019-10-19, 13:00	 	Riteriai
	0 : 0	
K. Žalgiris	LFF stadionas","Riteriai","K. Žalgiris"
32,,,,,"22 turas",,
33,"2019-10-15, 19:30","Riteriai","1 : 2","Sūduva","2019-10-15, 19:30	 	Riteriai
	1 : 2	
Sūduva	LFF stadionas","Riteriai","Sūduva"
34,,,,,"27 turas",,
35,"2019-10-12, 15:00","Palanga","0 : 4","Sūduva","2019-10-12, 15:00	 	Palanga
	0 : 4	
Sūduva	Palangos m. stadionas","Palanga","Sūduva"
36,,,,,"26 turas",,
37,"2019-10-05, 19:00","Sūduva","3 : 1","Panevėžys","2019-10-05, 19:00	 	Sūduva
	3 : 1	
Panevėžys	Marijampolės futbolo arenos stadionas","Sūduva","Panevėžys"
38,"2019-10-05, 17:00","Stumbras","0 : 3","Palanga","2019-10-05, 17:00	 	Stumbras
	0 : 3	
Palanga	LFF Kauno treniruočių centro st.","Stumbras","Palanga"
39,"2019-10-05, 15:00","Atlantas","2 : 1","Riteriai","2019-10-05, 15:00	 	Atlantas
	2 : 1	
Riteriai	Klaipėdos m. centrinis stadionas","Atlantas","Riteriai"
40,"2019-10-05, 13:00","K. Žalgiris","1 : 2","K. Žalgiris","2019-10-05, 13:00	 	K. Žalgiris
	1 : 2	
Žalgiris	„Kauno Žalgirio“ FA stadionas","Žalgiris","Žalgiris"
41,,,,,"20 turas",,
