Date,Home,Away,Location,Winner
1.5194772,12,11,Marijampolės futbolo arenos maniežas,0.0
1.5194844,10,0,„Sportima“,1.0
1.5195636,8,5,Klaipėdos dirbtinės dangos st.,0.5
1.5195816,14,6,„Sportima“,0.0
1.520082,6,10,LFF Kauno treniruočių centro st.,1.0
1.5200892,12,8,Marijampolės futbolo arenos maniežas,0.0
1.5201684,5,0,Marijampolės futbolo arenos maniežas,0.5
1.5201828,11,14,Marijampolės futbolo arenos maniežas,0.5
1.5204456,0,6,Klaipėdos dirbtinės dangos st.,1.0
1.520451,10,11,„Sportima“,0.5
1.520532,12,5,Marijampolės futbolo arenos maniežas,0.0
1.5205374,14,8,„Sportima“,0.0
1.520964,8,10,Klaipėdos dirbtinės dangos st.,0.5
1.5210504,11,0,LFF Kauno treniruočių centro st.,1.0
1.5210576,12,14,Marijampolės futbolo arenos maniežas,0.5
1.5212916,5,6,Jonavos dirbtinės dangos st.,1.0
1.521396,10,8,„Sportima“,0.0
1.5224328,0,8,Klaipėdos dirbtinės dangos st.,0.5
1.5224382,14,5,„Sportima“,1.0
1.5225012,10,12,„Sportima“,1.0
1.5225012,6,11,LFF Kauno treniruočių centro st.,1.0
1.5228648,11,5,LFF Kauno treniruočių centro st.,0.0
1.5229512,8,6,Klaipėdos dirbtinės dangos st.,0.0
1.5229584,12,0,Marijampolės futbolo arenos maniežas,0.0
1.523106,14,10,LFF stadionas,0.0
1.5234696,0,14,Klaipėdos dirbtinės dangos st.,1.0
1.5234768,11,8,LFF Kauno treniruočių centro st.,1.0
1.523556,12,6,Marijampolės futbolo arenos maniežas,0.0
1.5235632,10,5,LFF stadionas,0.5
1.523988,5,8,Jonavos dirbtinės dangos st.,0.0
1.5239952,11,12,LFF Kauno treniruočių centro st.,1.0
1.5240744,0,10,Klaipėdos dirbtinės dangos st.,1.0
1.5240816,6,14,LFF Kauno treniruočių centro st.,0.5
1.524402,14,11,LFF stadionas,0.5
1.5245928,8,12,Klaipėdos dirbtinės dangos st.,1.0
1.5246,10,6,LFF stadionas,0.0
1.5246792,0,5,Klaipėdos dirbtinės dangos st.,0.0
1.5249204,8,14,Klaipėdos dirbtinės dangos st.,1.0
1.5249204,5,12,Jonavos dirbtinės dangos st.,0.5
