Date,Home,Away,homeResult,awayResult,Winner
2018-02-24 13:00:00,0,6,2,0,0
2018-02-24 15:00:00,1,7,0,1,7
2018-02-25 13:00:00,2,5,1,1,10
2018-02-25 18:00:00,3,4,2,0,3
2018-03-03 13:00:00,4,1,1,4,1
2018-03-03 15:00:00,0,2,2,0,0
2018-03-04 13:00:00,5,7,1,1,10
2018-03-04 17:00:00,6,3,0,0,10
2018-03-07 18:00:00,7,4,0,1,4
2018-03-07 19:30:00,1,6,1,1,10
2018-03-08 18:00:00,0,5,4,2,0
2018-03-08 19:30:00,3,2,4,0,3
2018-03-13 18:00:00,2,1,1,1,10
2018-03-14 18:00:00,6,7,0,2,7
2018-03-14 20:00:00,0,3,0,0,10
2018-03-17 13:00:00,5,4,0,1,4
2018-03-18 18:00:00,1,2,3,1,1
2018-03-30 18:00:00,7,2,1,1,10
2018-03-30 19:30:00,3,5,1,2,5
2018-03-31 13:00:00,0,0,1,4,0
2018-03-31 13:00:00,4,6,0,1,6
2018-04-04 18:00:00,6,5,4,0,6
2018-04-05 18:00:00,2,4,1,0,2
2018-04-05 20:00:00,0,7,2,1,0
2018-04-07 13:00:00,3,1,3,2,3
2018-04-11 18:00:00,7,3,2,5,3
2018-04-11 20:00:00,6,2,0,1,2
2018-04-12 18:00:00,0,4,4,1,0
2018-04-12 20:00:00,1,5,1,1,10
2018-04-17 18:00:00,5,2,4,0,5
2018-04-17 20:00:00,6,0,0,1,0
2018-04-18 18:00:00,7,1,0,2,1
2018-04-18 20:00:00,4,3,0,0,10
2018-04-22 13:00:00,3,6,1,1,10
2018-04-24 18:00:00,2,0,0,2,0
2018-04-24 20:00:00,1,4,2,0,1
2018-04-25 18:00:00,7,5,1,0,7
2018-04-28 13:00:00,5,0,0,0,10
2018-04-28 13:00:00,2,3,1,2,3
2018-04-29 13:00:00,4,4,2,3,4
2018-04-29 18:00:00,6,1,0,2,1
2018-05-02 18:00:00,2,1,1,0,2
2018-05-02 20:00:00,3,0,2,3,0
2018-05-03 18:00:00,4,5,1,0,4
2018-05-03 20:00:00,7,6,0,0,10
2018-05-06 19:00:00,0,1,0,0,10
2018-05-08 18:00:00,6,4,0,2,4
2018-05-08 20:00:00,5,3,1,2,3
2018-05-09 18:00:00,2,7,0,2,7
2018-05-12 13:00:00,1,3,0,1,3
2018-05-12 13:00:00,7,0,0,3,0
2018-05-13 13:00:00,5,6,0,2,6
2018-05-13 18:00:00,4,2,0,0,10
2018-05-16 18:00:00,5,1,0,0,10
2018-05-16 18:00:00,2,6,0,2,6
2018-05-19 13:00:00,3,7,3,1,3
2018-05-20 13:00:00,1,5,1,0,1
2018-05-22 18:00:00,0,6,3,0,0
2018-05-23 18:00:00,4,3,0,1,3
2018-05-23 20:00:00,1,7,1,2,7
2018-05-24 18:00:00,2,5,3,1,2
2018-06-14 18:00:00,4,1,1,1,10
2018-06-15 18:00:00,5,7,2,1,5
2018-06-16 13:00:00,2,0,1,4,0
2018-06-16 13:00:00,3,6,0,1,6
2018-06-19 18:00:00,6,1,1,0,6
2018-06-20 18:00:00,3,2,2,0,3
2018-06-20 20:00:00,0,5,2,0,0
2018-06-27 18:00:00,5,4,0,2,4
2018-06-27 20:00:00,0,3,0,1,3
2018-07-01 19:00:00,0,4,0,3,4
2018-07-03 18:00:00,6,2,2,0,6
2018-07-04 18:00:00,0,4,1,0,0
2018-08-04 13:00:00,0,7,3,0,0
2018-08-04 13:00:00,5,6,1,3,6
2018-08-07 18:00:00,2,4,0,1,4
2018-08-11 13:00:00,2,7,2,0,2
2018-08-11 13:00:00,4,6,0,2,6
2018-08-12 13:00:00,5,1,1,3,1
2018-08-15 18:00:00,7,4,0,1,4
2018-08-18 13:00:00,5,2,3,1,5
2018-08-19 13:00:00,7,1,0,2,1
2018-08-19 18:00:00,3,4,4,0,3
2018-08-22 18:00:00,6,3,0,2,3
2018-08-22 20:00:00,7,5,1,1,10
2018-08-23 20:00:00,1,4,1,0,1
2018-08-25 13:00:00,6,7,2,1,6
2018-08-28 18:00:00,4,4,4,0,4
2018-08-29 18:00:00,2,3,0,5,3
2018-08-29 20:00:00,1,6,2,2,10
2018-09-15 13:00:00,0,2,5,0,0
2018-09-19 18:00:00,4,5,1,1,10
2018-09-19 20:00:00,7,6,1,3,6
2018-09-20 18:00:00,1,2,3,0,1
2018-09-21 20:00:00,3,0,1,0,3
2018-09-22 17:00:00,6,4,0,0,10
2018-09-25 18:00:00,7,2,1,1,10
2018-09-26 17:00:00,5,3,0,6,3
2018-09-26 20:00:00,0,1,0,0,10
2018-09-29 16:00:00,0,0,1,2,0
2018-10-04 16:00:00,6,5,3,0,6
2018-10-04 18:00:00,7,0,2,5,0
2018-10-04 20:00:00,1,3,1,0,1
2018-10-05 16:00:00,4,2,2,0,4
2018-10-07 13:00:00,7,3,1,5,3
2018-10-07 13:00:00,6,0,1,2,0
2018-10-17 18:00:00,3,5,2,1,3
2018-10-21 13:00:00,5,0,1,2,0
2018-10-21 13:00:00,3,1,2,2,10
2018-10-24 16:00:00,2,6,1,5,6
2018-10-24 18:00:00,0,4,1,0,0
2018-10-24 18:00:00,3,7,3,1,3
2018-10-28 13:00:00,0,4,1,1,10
2018-10-28 13:00:00,1,3,0,1,3
2018-10-28 17:00:00,6,7,6,0,6
2018-10-31 18:00:00,7,4,1,3,4
2018-10-31 18:00:00,0,1,1,0,0
2018-10-31 20:00:00,3,6,2,0,3
2018-11-03 13:00:00,1,4,1,0,1
2018-11-03 13:00:00,6,0,1,4,0
2018-11-03 18:00:00,3,7,0,0,10
2018-11-07 18:00:00,6,1,0,3,1
2018-11-07 18:00:00,3,4,5,2,3
2018-11-07 20:00:00,0,7,6,0,0
2018-11-11 13:00:00,7,1,1,5,1
2018-11-11 13:00:00,4,6,1,2,6
2018-11-11 13:00:00,0,3,1,2,3
2019-03-02 15:00:00,7,4,2,0,7
2019-03-02 17:00:00,6,8,1,0,6
2019-03-03 17:00:00,0,1,2,1,0
2019-03-03 19:30:00,3,2,5,1,3
2019-03-09 13:00:00,4,2,6,1,4
2019-03-09 15:00:00,3,8,0,3,8
2019-03-10 15:00:00,7,0,0,5,0
2019-03-11 19:30:00,1,6,0,0,10
2019-03-15 19:30:00,3,1,1,1,10
2019-03-16 15:00:00,6,7,2,0,6
2019-03-16 17:00:00,0,4,1,0,0
2019-03-17 15:00:00,2,8,1,1,10
2019-03-30 13:00:00,4,8,2,0,4
2019-03-30 13:00:00,7,3,0,3,3
2019-03-31 17:00:00,6,0,2,0,6
2019-04-02 19:00:00,1,2,3,1,1
2019-04-06 13:00:00,2,7,2,1,2
2019-04-06 17:00:00,6,4,0,1,4
2019-04-07 17:00:00,8,1,1,2,1
2019-04-07 19:00:00,3,0,1,0,3
2019-04-13 13:00:00,4,1,3,1,4
2019-04-13 17:30:00,6,3,1,0,6
2019-04-14 15:00:00,7,8,2,1,7
2019-04-14 17:00:00,0,2,3,0,0
2019-04-19 17:30:00,8,0,1,2,0
2019-04-19 19:00:00,3,4,3,1,3
2019-04-20 13:00:00,2,6,2,1,2
2019-04-20 15:00:00,1,7,0,0,10
2019-04-27 13:00:00,8,6,1,1,10
2019-04-27 15:00:00,2,3,1,4,3
2019-04-27 17:00:00,4,7,2,1,4
2019-04-27 20:00:00,1,0,1,2,0
2019-05-04 17:00:00,6,1,0,3,1
2019-05-05 15:00:00,2,4,0,3,4
2019-05-05 17:00:00,0,7,4,0,0
2019-05-05 19:00:00,3,8,2,1,3
2019-05-11 13:00:00,1,3,1,0,1
2019-05-11 15:00:00,4,0,0,3,0
2019-05-12 14:00:00,7,6,0,0,10
2019-05-12 17:00:00,8,2,2,1,8
2019-05-17 19:00:00,3,7,3,0,3
2019-05-18 17:00:00,8,4,1,1,10
2019-05-18 18:00:00,2,1,1,3,1
2019-05-18 19:00:00,0,6,2,0,0
2019-05-21 18:00:00,7,2,2,1,7
2019-05-21 20:00:00,1,8,1,1,10
2019-05-22 18:00:00,4,6,4,3,4
2019-05-22 20:00:00,0,3,1,0,0
2019-05-31 19:00:00,3,6,2,1,3
2019-06-01 17:00:00,2,0,0,2,0
2019-06-01 19:00:00,1,4,1,0,1
2019-06-02 18:00:00,8,8,4,1,8
2019-06-14 18:00:00,7,1,2,3,1
2019-06-14 20:00:00,3,3,3,4,3
2019-06-15 17:00:00,6,2,0,3,2
2019-06-15 19:00:00,0,8,2,1,0
2019-06-22 15:00:00,7,4,1,1,10
2019-06-22 17:00:00,6,8,0,3,8
2019-06-22 19:00:00,0,1,1,2,1
2019-06-23 19:00:00,3,2,3,2,3
2019-06-29 16:00:00,3,8,0,2,8
2019-06-29 18:00:00,4,2,4,0,4
2019-06-29 19:00:00,0,7,4,1,0
2019-06-29 20:00:00,1,6,3,0,1
2019-07-03 20:00:00,0,4,3,0,0
2019-07-04 18:00:00,2,8,1,2,8
2019-07-05 19:00:00,3,1,2,1,3
2019-07-06 17:00:00,6,7,0,3,7
2019-08-03 15:00:00,4,8,2,2,10
2019-08-03 17:00:00,1,2,1,0,1
2019-08-03 19:00:00,0,6,3,0,0
2019-08-04 19:00:00,7,3,1,3,3
2019-08-10 19:00:00,1,7,1,1,10
2019-08-11 15:00:00,2,6,3,0,2
2019-08-11 19:00:00,3,4,3,0,3
2019-08-12 18:00:00,8,2,3,1,8
2019-08-17 19:00:00,4,1,1,0,4
2019-08-18 15:00:00,6,3,0,3,3
