0,1,2,3,4,5
"2023-05-28, 17:55", ,Žalgiris,2 : 1,Panevėžys,LFF stadionas
"2023-05-28, 16:00", ,K. Žalgiris,0 : 0,Banga,Dariaus ir Girėno stadionas
"2023-05-27, 19:00", ,Riteriai,0 : 4,Hegelmann,LFF stadionas
"2023-05-27, 17:00", ,Šiauliai,2 : 0,Dainava,Šiaulių sav. stadionas
"2023-05-26, 18:00", ,Sūduva,1 : 0,Džiugas,Marijampolės futbolo arenos stadionas
"2023-05-21, 17:55", ,Šiauliai,0 : 0,Panevėžys,Šiaulių sav. stadionas
"2023-05-21, 16:00", ,Riteriai,1 : 1,Džiugas,LFF stadionas
"2023-05-20, 17:00", ,K. Žalgiris,1 : 0,Dainava,Dariaus ir Girėno stadionas
"2023-05-20, 15:00", ,Sūduva,2 : 1,Žalgiris,Marijampolės futbolo arenos stadionas
"2023-05-19, 18:00", ,Hegelmann,5 : 0,Banga,LFF Kauno treniruočių centro st.
"2023-05-14, 17:55", ,Žalgiris,2 : 1,K. Žalgiris,LFF stadionas
"2023-05-14, 15:00", ,Džiugas,1 : 2,Banga,„Ateities“ progimnazijos stadionas
"2023-05-13, 17:00", ,Panevėžys,0 : 0,Sūduva,„Aukštaitijos“ stadionas
"2023-05-13, 15:00", ,Dainava,5 : 0,Riteriai,Alytaus m. stadionas
"2023-05-12, 18:00", ,Hegelmann,2 : 3,Šiauliai,LFF Kauno treniruočių centro st.
"2023-05-04, 19:00", ,K. Žalgiris,0 : 1,Panevėžys,Dariaus ir Girėno stadionas
"2023-05-03, 20:00", ,Riteriai,0 : 2,Žalgiris,LFF stadionas
"2023-05-03, 18:00", ,Banga,2 : 1,Dainava,Gargždų m. stadionas
"2023-05-02, 20:00", ,Sūduva,0 : 2,Šiauliai,Marijampolės futbolo arenos stadionas
"2023-05-02, 18:00", ,Džiugas,2 : 0,Hegelmann,„Ateities“ progimnazijos stadionas
"2023-04-30, 17:55", ,Banga,0 : 2,Žalgiris,Gargždų m. stadionas
"2023-04-29, 18:00", ,Šiauliai,1 : 0,K. Žalgiris,Šiaulių „Gytarių“ stadionas
"2023-04-29, 17:00", ,Dainava,2 : 2,Džiugas,Alytaus m. stadionas
"2023-04-29, 13:00", ,Panevėžys,3 : 1,Riteriai,„Žemynos“ progimnazijos stadionas
"2023-04-28, 18:00", ,Hegelmann,6 : 0,Sūduva,LFF Kauno treniruočių centro st.
"2023-04-24, 18:00", ,Panevėžys,2 : 0,Banga,„Žemynos“ progimnazijos stadionas
"2023-04-23, 17:55", ,K. Žalgiris,3 : 0,Sūduva,Dariaus ir Girėno stadionas
"2023-04-23, 15:00", ,Dainava,1 : 0,Hegelmann,Alytaus m. stadionas
"2023-04-23, 13:00", ,Džiugas,0 : 2,Žalgiris,„Ateities“ progimnazijos stadionas
"2023-04-22, 17:00", ,Šiauliai,1 : 1,Riteriai,Šiaulių „Gytarių“ stadionas
"2023-04-19, 20:00", ,Dainava,0 : 2,Žalgiris,Alytaus m. stadionas
"2023-04-19, 19:00", ,Hegelmann,3 : 2,K. Žalgiris,LFF Kauno treniruočių centro st.
"2023-04-19, 18:00", ,Džiugas,0 : 3,Panevėžys,„Ateities“ progimnazijos stadionas
"2023-04-18, 20:00", ,Riteriai,1 : 0,Sūduva,LFF stadionas
"2023-04-18, 18:00", ,Banga,0 : 1,Šiauliai,Gargždų m. stadionas
"2023-04-16, 17:55", ,Žalgiris,1 : 0,Hegelmann,LFF stadionas
"2023-04-15, 17:00", ,K. Žalgiris,3 : 1,Riteriai,Prezidento V. Adamkaus VDU sporto centras
"2023-04-15, 15:00", ,Šiauliai,2 : 0,Džiugas,Šiaulių „Gytarių“ stadionas
"2023-04-15, 13:00", ,Panevėžys,0 : 0,Dainava,„Žemynos“ progimnazijos stadionas
"2023-04-14, 18:00", ,Sūduva,0 : 2,Banga,Marijampolės futbolo arenos maniežas
"2023-04-09, 17:55", ,Banga,0 : 2,K. Žalgiris,Gargždų m. stadionas
"2023-04-09, 15:00", ,Džiugas,0 : 2,Sūduva,„Ateities“ progimnazijos stadionas
"2023-04-09, 13:00", ,Hegelmann,0 : 1,Riteriai,LFF Kauno treniruočių centro st.
"2023-04-08, 17:00", ,Dainava,0 : 0,Šiauliai,Marijampolės futbolo arenos maniežas
"2023-04-08, 15:00", ,Panevėžys,0 : 0,Žalgiris,„Žemynos“ progimnazijos stadionas
"2023-04-05, 20:00", ,Sūduva,2 : 0,Dainava,Marijampolės futbolo arenos maniežas
"2023-04-05, 19:00", ,Riteriai,0 : 0,Banga,LFF stadionas
"2023-04-05, 18:00", ,K. Žalgiris,3 : 1,Džiugas,Prezidento V. Adamkaus VDU sporto centras
"2023-04-04, 18:00", ,Šiauliai,1 : 0,Žalgiris,Šiaulių „Gytarių“ stadionas
"2023-04-04, 18:00", ,Hegelmann,2 : 4,Panevėžys,LFF Kauno treniruočių centro st.
"2023-04-02, 17:55", ,Dainava,0 : 0,K. Žalgiris,Marijampolės futbolo arenos maniežas
"2023-04-01, 19:00", ,Žalgiris,4 : 0,Sūduva,„Sportima“
"2023-04-01, 15:00", ,Džiugas,1 : 1,Riteriai,„Ateities“ progimnazijos stadionas
"2023-04-01, 13:00", ,Panevėžys,3 : 1,Šiauliai,„Žemynos“ progimnazijos stadionas
"2023-03-31, 18:00", ,Banga,0 : 5,Hegelmann,Gargždų m. stadionas
"2023-03-19, 17:55", ,Žalgiris,1 : 0,Riteriai,„Sportima“
"2023-03-19, 15:00", ,Šiauliai,3 : 0,Sūduva,Šiaulių „Gytarių“ stadionas
"2023-03-19, 13:00", ,Panevėžys,2 : 1,K. Žalgiris,„Žemynos“ progimnazijos stadionas
"2023-03-18, 17:00", ,Dainava,2 : 1,Banga,Marijampolės futbolo arenos maniežas
"2023-03-18, 15:00", ,Hegelmann,2 : 0,Džiugas,LFF Kauno treniruočių centro st.
"2023-03-15, 19:30", ,Riteriai,0 : 0,Dainava,„Sportima“
"2023-03-15, 19:00", ,Sūduva,0 : 2,Panevėžys,Marijampolės futbolo arenos maniežas
"2023-03-15, 18:00", ,Banga,2 : 0,Džiugas,Gargždų m. stadionas
"2023-03-14, 20:00", ,K. Žalgiris,1 : 1,Žalgiris,Marijampolės futbolo arenos maniežas
"2023-03-14, 18:00", ,Šiauliai,3 : 1,Hegelmann,Šiaulių „Gytarių“ stadionas
"2023-03-12, 17:55", ,Riteriai,0 : 4,Panevėžys,„Sportima“
"2023-03-12, 15:00", ,Džiugas,0 : 1,Dainava,„Ateities“ progimnazijos stadionas
"2023-03-11, 17:30", ,Žalgiris,1 : 0,Banga,„Sportima“
"2023-03-11, 13:00", ,Sūduva,2 : 0,Hegelmann,Marijampolės futbolo arenos maniežas
"2023-03-10, 19:30", ,K. Žalgiris,0 : 0,Šiauliai,Marijampolės futbolo arenos maniežas
"2023-03-05, 17:55", ,Žalgiris,2 : 3,Džiugas,„Sportima“
"2023-03-05, 15:00", ,Banga,0 : 4,Panevėžys,Gargždų m. stadionas
"2023-03-04, 20:00", ,Hegelmann,3 : 0,Dainava,Marijampolės futbolo arenos maniežas
"2023-03-04, 17:00", ,Sūduva,2 : 4,K. Žalgiris,Marijampolės futbolo arenos maniežas
"2023-03-03, 19:30", ,Riteriai,0 : 1,Šiauliai,„Sportima“
"2020-11-14, 15:00", ,Žalgiris,3 : 0,Sūduva,LFF stadionas
"2020-10-31, 17:00", ,K. Žalgiris,1 : 0,Riteriai,LFF Kauno treniruočių centro st.
"2020-10-31, 17:00", ,Panevėžys,1 : 1,Banga,„Aukštaitijos“ stadionas
"2020-10-28, 18:30", ,Riteriai,1 : 1,Panevėžys,LFF stadionas
"2020-10-20, 20:00", ,Sūduva,1 : 1,K. Žalgiris,Marijampolės futbolo arenos stadionas
"2020-10-20, 18:00", ,Banga,0 : 4,Žalgiris,Gargždų m. stadionas
"2020-10-10, 17:00", ,Banga,1 : 2,Sūduva,Gargždų m. stadionas
"2020-10-03, 17:00", ,Panevėžys,1 : 1,Sūduva,„Aukštaitijos“ stadionas
"2020-10-03, 15:00", ,K. Žalgiris,0 : 1,Žalgiris,„Kauno Žalgirio“ FA stadionas
"2020-10-02, 19:00", ,Riteriai,4 : 0,Banga,LFF stadionas
"2020-09-27, 19:00", ,Sūduva,7 : 1,Riteriai,Marijampolės futbolo arenos stadionas
"2020-09-27, 17:00", ,Žalgiris,3 : 2,Panevėžys,LFF stadionas
"2020-09-27, 15:00", ,Banga,1 : 2,K. Žalgiris,Gargždų m. stadionas
"2020-08-20, 20:00", ,Riteriai,2 : 2,Žalgiris,LFF stadionas
"2020-08-20, 18:00", ,Panevėžys,0 : 1,K. Žalgiris,„Aukštaitijos“ stadionas
"2020-08-16, 17:00", ,Banga,3 : 3,Panevėžys,Gargždų m. stadionas
"2020-08-14, 19:00", ,Riteriai,0 : 1,K. Žalgiris,LFF stadionas
"2020-08-12, 19:00", ,Sūduva,2 : 0,Žalgiris,Marijampolės futbolo arenos stadionas
"2020-08-08, 17:00", ,Panevėžys,1 : 1,Riteriai,„Aukštaitijos“ stadionas
"2020-08-07, 20:00", ,K. Žalgiris,3 : 0,Sūduva,„Kauno Žalgirio“ FA stadionas
