"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
1,,,,,"33 turas",,
2,"2018-11-11, 13:00","Atlantas","1 : 5","Riteriai","2018-11-11, 13:00	 	Atlantas
	1 : 5	
Riteriai	Klaipėdos dirbtinės dangos st.","Atlantas","Riteriai"
3,"2018-11-11, 13:00","Sūduva","1 : 2","Žalgiris","2018-11-11, 13:00	 	Sūduva
	1 : 2	
Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","Žalgiris"
4,"2018-11-11, 13:00","K. Žalgiris","1 : 2","Stumbras","2018-11-11, 13:00	 	K. Žalgiris
	1 : 2	
Stumbras	LFF Kauno treniruočių centro st.","K. Žalgiris","K. Žalgiris"
5,,,,,"32 turas",,
6,"2018-11-07, 20:00","Atlantas","6 : 0","Atlantas","2018-11-07, 20:00	 	Sūduva
	6 : 0	
Atlantas	Marijampolės futbolo arenos stadionas","Sūduva","Atlantas"
7,"2018-11-07, 18:00","Žalgiris","5 : 2","K. Žalgiris","2018-11-07, 18:00	 	Žalgiris
	5 : 2	
K. Žalgiris	LFF stadionas","Žalgiris","K. Žalgiris"
8,"2018-11-07, 18:00","Stumbras","0 : 3","Riteriai","2018-11-07, 18:00	 	Stumbras
	0 : 3	
Riteriai	LFF Kauno treniruočių centro st.","Stumbras","Riteriai"
9,,,,,"31 turas",,
10,"2018-11-03, 18:00","Atlantas","0 : 0","Atlantas","2018-11-03, 18:00	 	Žalgiris
	0 : 0	
Atlantas	LFF stadionas","Žalgiris","Atlantas"
11,"2018-11-03, 13:00","Stumbras","1 : 4","Sūduva","2018-11-03, 13:00	 	Stumbras
	1 : 4	
Sūduva	LFF Kauno treniruočių centro st.","Sūduva","Sūduva"
12,"2018-11-03, 13:00","Riteriai","1 : 0","Riteriai","2018-11-03, 13:00	 	Riteriai
	1 : 0	
K. Žalgiris	LFF stadionas","Riteriai","K. Žalgiris"
13,,,,,"30 turas",,
14,"2018-10-31, 20:00","Žalgiris","2 : 0","Stumbras","2018-10-31, 20:00	 	Žalgiris
	2 : 0	
Stumbras	LFF stadionas","Žalgiris","Stumbras"
15,"2018-10-31, 18:00","Atlantas","1 : 3","K. Žalgiris","2018-10-31, 18:00	 	Atlantas
	1 : 3	
K. Žalgiris	Klaipėdos dirbtinės dangos st.","Atlantas","K. Žalgiris"
16,"2018-10-31, 18:00","Sūduva","1 : 0","Riteriai","2018-10-31, 18:00	 	Sūduva
	1 : 0	
Riteriai	Marijampolės futbolo arenos stadionas","Sūduva","Riteriai"
17,,,,,"29 turas",,
18,"2018-10-28, 17:00","Atlantas","6 : 0","Atlantas","2018-10-28, 17:00	 	Stumbras
	6 : 0	
Atlantas	LFF Kauno treniruočių centro st.","Stumbras","Atlantas"
19,"2018-10-28, 13:00","Riteriai","0 : 1","Riteriai","2018-10-28, 13:00	 	Riteriai
	0 : 1	
Žalgiris	LFF stadionas","Riteriai","Žalgiris"
20,"2018-10-28, 13:00","K. Žalgiris","1 : 1","Sūduva","2018-10-28, 13:00	 	K. Žalgiris
	1 : 1	
Sūduva	LFF Kauno treniruočių centro st.","Sūduva","K. Žalgiris"
21,,,,,"28 turas",,
22,"2018-10-24, 18:00","Atlantas","3 : 1","Atlantas","2018-10-24, 18:00	 	Žalgiris
	3 : 1	
Atlantas	LFF stadionas","Žalgiris","Atlantas"
23,"2018-10-24, 18:00","Sūduva","1 : 0","K. Žalgiris","2018-10-24, 18:00	 	Sūduva
	1 : 0	
K. Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","K. Žalgiris"
24,"2018-10-24, 16:00","Palanga","1 : 5","Stumbras","2018-10-24, 16:00	 	Palanga
	1 : 5	
Stumbras	Palangos m. stadionas","Palanga","Stumbras"
25,,,,,"24 turas",,
26,"2018-10-21, 13:00","Jonava","1 : 2","Sūduva","2018-10-21, 13:00	 	Jonava
	1 : 2	
Sūduva	Jonavos m. stadionas","Sūduva","Sūduva"
27,,,,,"20 turas",,
28,"2018-10-21, 13:00","Žalgiris","2 : 2","Riteriai","2018-10-21, 13:00	 	Žalgiris
	2 : 2	
Riteriai	LFF stadionas","Žalgiris","Riteriai"
29,,,,,"21 turas",,
30,"2018-10-17, 18:00","Žalgiris","2 : 1","Jonava","2018-10-17, 18:00	 	Žalgiris
	2 : 1	
Jonava	LFF stadionas","Žalgiris","Jonava"
31,,,,,"19 turas",,
32,"2018-10-07, 13:00","Atlantas","1 : 5","Žalgiris","2018-10-07, 13:00	 	Atlantas
	1 : 5	
Žalgiris	Klaipėdos m. centrinis stadionas","Atlantas","Žalgiris"
33,,,,,"22 turas",,
34,"2018-10-07, 13:00","Stumbras","1 : 2","Sūduva","2018-10-07, 13:00	 	Stumbras
	1 : 2	
Sūduva	LFF Kauno treniruočių centro st.","Sūduva","Sūduva"
35,,,,,"27 turas",,
36,"2018-10-05, 16:00","K. Žalgiris","2 : 0","Palanga","2018-10-05, 16:00	 	K. Žalgiris
	2 : 0	
Palanga	Dariaus ir Girėno stadionas","K. Žalgiris","K. Žalgiris"
37,"2018-10-04, 20:00","Riteriai","1 : 0","Riteriai","2018-10-04, 20:00	 	Riteriai
	1 : 0	
Žalgiris	LFF stadionas","Riteriai","Žalgiris"
38,"2018-10-04, 18:00","Atlantas","2 : 5","Sūduva","2018-10-04, 18:00	 	Atlantas
	2 : 5	
Sūduva	Klaipėdos m. centrinis stadionas","Sūduva","Sūduva"
39,"2018-10-04, 16:00","Stumbras","3 : 0","Jonava","2018-10-04, 16:00	 	Stumbras
	3 : 0	
Jonava	Dariaus ir Girėno stadionas","Stumbras","Jonava"
40,,,,,"21 turas",,
41,"2018-09-29, 16:00","Riteriai","1 : 2","Riteriai","2018-09-29, 16:00	 	Riteriai
	1 : 2	
Sūduva	LFF stadionas","Sūduva","Sūduva"
42,,,,,"26 turas",,
43,"2018-09-26, 20:00","Sūduva","0 : 0","Riteriai","2018-09-26, 20:00	 	Sūduva
	0 : 0	
Riteriai	Marijampolės futbolo arenos stadionas","Sūduva","Riteriai"
44,"2018-09-26, 17:00","Jonava","0 : 6","Žalgiris","2018-09-26, 17:00	 	Jonava
	0 : 6	
Žalgiris	Jonavos m. stadionas","Jonava","Žalgiris"
45,"2018-09-25, 18:00","Atlantas","1 : 1","Palanga","2018-09-25, 18:00	 	Atlantas
	1 : 1	
Palanga	Klaipėdos m. centrinis stadionas","Atlantas","Palanga"
46,"2018-09-22, 17:00","Stumbras","0 : 0","K. Žalgiris","2018-09-22, 17:00	 	Stumbras
	0 : 0	
K. Žalgiris	Dariaus ir Girėno stadionas","Stumbras","K. Žalgiris"
47,,,,,"25 turas",,
48,"2018-09-21, 20:00","Žalgiris","1 : 0","Sūduva","2018-09-21, 20:00	 	Žalgiris
	1 : 0	
Sūduva	LFF stadionas","Sūduva","Sūduva"
49,"2018-09-20, 18:00","Riteriai","3 : 0","Riteriai","2018-09-20, 18:00	 	Riteriai
	3 : 0	
Palanga	LFF stadionas","Riteriai","Palanga"
50,"2018-09-19, 20:00","Atlantas","1 : 3","Stumbras","2018-09-19, 20:00	 	Atlantas
	1 : 3	
Stumbras	Klaipėdos m. centrinis stadionas","Atlantas","Stumbras"
51,"2018-09-19, 18:00","K. Žalgiris","1 : 1","Jonava","2018-09-19, 18:00	 	K. Žalgiris
	1 : 1	
Jonava	Dariaus ir Girėno stadionas","K. Žalgiris","K. Žalgiris"
52,,,,,"23 turas",,
53,"2018-09-15, 13:00","Sūduva","5 : 0","Palanga","2018-09-15, 13:00	 	Sūduva
	5 : 0	
Palanga	Marijampolės futbolo arenos stadionas","Sūduva","Palanga"
54,,,,,"24 turas",,
55,"2018-08-29, 20:00","Riteriai","2 : 2","Riteriai","2018-08-29, 20:00	 	Riteriai
	2 : 2	
Stumbras	LFF stadionas","Riteriai","Stumbras"
56,"2018-08-29, 18:00","Palanga","0 : 5","Žalgiris","2018-08-29, 18:00	 	Palanga
	0 : 5	
Žalgiris	Palangos m. stadionas","Palanga","Žalgiris"
57,"2018-08-28, 18:00","Atlantas","4 : 0","Atlantas","2018-08-28, 18:00	 	K. Žalgiris
	4 : 0	
Atlantas	Dariaus ir Girėno stadionas","K. Žalgiris","K. Žalgiris"
58,,,,,"18 turas",,
59,"2018-08-25, 13:00","Atlantas","2 : 1","Atlantas","2018-08-25, 13:00	 	Stumbras
	2 : 1	
Atlantas	Dariaus ir Girėno stadionas","Stumbras","Atlantas"
60,,,,,"23 turas",,
61,"2018-08-23, 20:00","Riteriai","1 : 0","Riteriai","2018-08-23, 20:00	 	Riteriai
	1 : 0	
K. Žalgiris	LFF stadionas","Riteriai","K. Žalgiris"
62,"2018-08-22, 20:00","Atlantas","1 : 1","Jonava","2018-08-22, 20:00	 	Atlantas
	1 : 1	
Jonava	Klaipėdos m. centrinis stadionas","Atlantas","Jonava"
63,"2018-08-22, 18:00","Stumbras","0 : 2","Žalgiris","2018-08-22, 18:00	 	Stumbras
	0 : 2	
Žalgiris	Dariaus ir Girėno stadionas","Stumbras","Žalgiris"
64,,,,,"22 turas",,
65,"2018-08-19, 18:00","Žalgiris","4 : 0","K. Žalgiris","2018-08-19, 18:00	 	Žalgiris
	4 : 0	
K. Žalgiris	LFF stadionas","Žalgiris","K. Žalgiris"
66,"2018-08-19, 13:00","Atlantas","0 : 2","Riteriai","2018-08-19, 13:00	 	Atlantas
	0 : 2	
Riteriai	Klaipėdos m. centrinis stadionas","Atlantas","Riteriai"
67,"2018-08-18, 13:00","Jonava","3 : 1","Palanga","2018-08-18, 13:00	 	Jonava
	3 : 1	
Palanga	Jonavos m. stadionas","Jonava","Palanga"
68,,,,,"17 turas",,
