"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
1,,,,,"11 turas",,
2,"2023-04-30, 17:55","Banga","0 : 2","Žalgiris","2023-04-30, 17:55	 	Banga
	0 : 2	
Žalgiris	Gargždų m. stadionas","Banga","Žalgiris"
3,"2023-04-29, 18:00","Šiauliai","1 : 0","K. Žalgiris","2023-04-29, 18:00	 	Šiauliai
	1 : 0	
K. Žalgiris	Šiaulių „Gytarių“ stadionas","Šiauliai","K. Žalgiris"
4,"2023-04-29, 17:00","Dainava","2 : 2","Džiugas","2023-04-29, 17:00	 	Dainava
	2 : 2	
Džiugas	Alytaus m. stadionas","Dainava","Džiugas"
5,"2023-04-29, 13:00","Panevėžys","3 : 1","Riteriai","2023-04-29, 13:00	 	Panevėžys
	3 : 1	
Riteriai	„Žemynos“ progimnazijos stadionas","Panevėžys","Riteriai"
6,"2023-04-28, 18:00","Hegelmann","6 : 0","Sūduva","2023-04-28, 18:00	 	Hegelmann
	6 : 0	
Sūduva	LFF Kauno treniruočių centro st.","Hegelmann","Hegelmann"
7,,,,,"10 turas",,
8,"2023-04-24, 18:00","Banga","2 : 0","Banga","2023-04-24, 18:00	 	Panevėžys
	2 : 0	
Banga	„Žemynos“ progimnazijos stadionas","Panevėžys","Banga"
9,"2023-04-23, 17:55","K. Žalgiris","3 : 0","Sūduva","2023-04-23, 17:55	 	K. Žalgiris
	3 : 0	
Sūduva	Dariaus ir Girėno stadionas","K. Žalgiris","Sūduva"
10,"2023-04-23, 15:00","Dainava","1 : 0","Hegelmann","2023-04-23, 15:00	 	Dainava
	1 : 0	
Hegelmann	Alytaus m. stadionas","Dainava","Hegelmann"
11,"2023-04-23, 13:00","Džiugas","0 : 2","Žalgiris","2023-04-23, 13:00	 	Džiugas
	0 : 2	
Žalgiris	„Ateities“ progimnazijos stadionas","Džiugas","Žalgiris"
12,"2023-04-22, 17:00","Šiauliai","1 : 1","Riteriai","2023-04-22, 17:00	 	Šiauliai
	1 : 1	
Riteriai	Šiaulių „Gytarių“ stadionas","Šiauliai","Riteriai"
13,,,,,"9 turas",,
14,"2023-04-19, 20:00","Dainava","0 : 2","Žalgiris","2023-04-19, 20:00	 	Dainava
	0 : 2	
Žalgiris	Alytaus m. stadionas","Dainava","Žalgiris"
15,"2023-04-19, 19:00","Hegelmann","3 : 2","K. Žalgiris","2023-04-19, 19:00	 	Hegelmann
	3 : 2	
K. Žalgiris	LFF Kauno treniruočių centro st.","Hegelmann","Hegelmann"
16,"2023-04-19, 18:00","Džiugas","0 : 3","Panevėžys","2023-04-19, 18:00	 	Džiugas
	0 : 3	
Panevėžys	„Ateities“ progimnazijos stadionas","Panevėžys","Panevėžys"
17,"2023-04-18, 20:00","Riteriai","1 : 0","Sūduva","2023-04-18, 20:00	 	Riteriai
	1 : 0	
Sūduva	LFF stadionas","Riteriai","Sūduva"
18,"2023-04-18, 18:00","Banga","0 : 1","Šiauliai","2023-04-18, 18:00	 	Banga
	0 : 1	
Šiauliai	Gargždų m. stadionas","Banga","Šiauliai"
19,,,,,"8 turas",,
20,"2023-04-16, 17:55","Žalgiris","1 : 0","Žalgiris","2023-04-16, 17:55	 	Žalgiris
	1 : 0	
Hegelmann	LFF stadionas","Žalgiris","Hegelmann"
21,"2023-04-15, 17:00","K. Žalgiris","3 : 1","Riteriai","2023-04-15, 17:00	 	K. Žalgiris
	3 : 1	
Riteriai	Prezidento V. Adamkaus VDU sporto centras","K. Žalgiris","Riteriai"
22,"2023-04-15, 15:00","Šiauliai","2 : 0","Džiugas","2023-04-15, 15:00	 	Šiauliai
	2 : 0	
Džiugas	Šiaulių „Gytarių“ stadionas","Šiauliai","Džiugas"
23,"2023-04-15, 13:00","Panevėžys","0 : 0","Dainava","2023-04-15, 13:00	 	Panevėžys
	0 : 0	
Dainava	„Žemynos“ progimnazijos stadionas","Panevėžys","Dainava"
24,"2023-04-14, 18:00","Banga","0 : 2","Banga","2023-04-14, 18:00	 	Sūduva
	0 : 2	
Banga	Marijampolės futbolo arenos maniežas","Sūduva","Banga"
25,,,,,"7 turas",,
26,"2023-04-09, 17:55","Banga","0 : 2","K. Žalgiris","2023-04-09, 17:55	 	Banga
	0 : 2	
K. Žalgiris	Gargždų m. stadionas","Banga","K. Žalgiris"
27,"2023-04-09, 15:00","Džiugas","0 : 2","Sūduva","2023-04-09, 15:00	 	Džiugas
	0 : 2	
Sūduva	„Ateities“ progimnazijos stadionas","Džiugas","Sūduva"
28,"2023-04-09, 13:00","Hegelmann","0 : 1","Riteriai","2023-04-09, 13:00	 	Hegelmann
	0 : 1	
Riteriai	LFF Kauno treniruočių centro st.","Hegelmann","Hegelmann"
29,"2023-04-08, 17:00","Dainava","0 : 0","Šiauliai","2023-04-08, 17:00	 	Dainava
	0 : 0	
Šiauliai	Marijampolės futbolo arenos maniežas","Dainava","Šiauliai"
30,"2023-04-08, 15:00","Panevėžys","0 : 0","Žalgiris","2023-04-08, 15:00	 	Panevėžys
	0 : 0	
Žalgiris	„Žemynos“ progimnazijos stadionas","Panevėžys","Žalgiris"
31,,,,,"6 turas",,
32,"2023-04-05, 20:00","Sūduva","2 : 0","Dainava","2023-04-05, 20:00	 	Sūduva
	2 : 0	
Dainava	Marijampolės futbolo arenos maniežas","Sūduva","Dainava"
33,"2023-04-05, 19:00","Banga","0 : 0","Banga","2023-04-05, 19:00	 	Riteriai
	0 : 0	
Banga	LFF stadionas","Riteriai","Banga"
34,"2023-04-05, 18:00","K. Žalgiris","3 : 1","Džiugas","2023-04-05, 18:00	 	K. Žalgiris
	3 : 1	
Džiugas	Prezidento V. Adamkaus VDU sporto centras","K. Žalgiris","Džiugas"
35,"2023-04-04, 18:00","Šiauliai","1 : 0","Žalgiris","2023-04-04, 18:00	 	Šiauliai
	1 : 0	
Žalgiris	Šiaulių „Gytarių“ stadionas","Šiauliai","Žalgiris"
36,"2023-04-04, 18:00","Hegelmann","2 : 4","Panevėžys","2023-04-04, 18:00	 	Hegelmann
	2 : 4	
Panevėžys	LFF Kauno treniruočių centro st.","Panevėžys","Hegelmann"
37,,,,,"5 turas",,
38,"2023-04-02, 17:55","Dainava","0 : 0","K. Žalgiris","2023-04-02, 17:55	 	Dainava
	0 : 0	
K. Žalgiris	Marijampolės futbolo arenos maniežas","Dainava","K. Žalgiris"
39,"2023-04-01, 19:00","Žalgiris","4 : 0","Žalgiris","2023-04-01, 19:00	 	Žalgiris
	4 : 0	
Sūduva	„Sportima“","Žalgiris","Sūduva"
40,"2023-04-01, 15:00","Džiugas","1 : 1","Riteriai","2023-04-01, 15:00	 	Džiugas
	1 : 1	
Riteriai	„Ateities“ progimnazijos stadionas","Džiugas","Riteriai"
41,"2023-04-01, 13:00","Panevėžys","3 : 1","Šiauliai","2023-04-01, 13:00	 	Panevėžys
	3 : 1	
Šiauliai	„Žemynos“ progimnazijos stadionas","Panevėžys","Šiauliai"
42,"2023-03-31, 18:00","Banga","0 : 5","Hegelmann","2023-03-31, 18:00	 	Banga
	0 : 5	
Hegelmann	Gargždų m. stadionas","Banga","Hegelmann"
43,,,,,"4 turas",,
44,"2023-03-19, 17:55","Žalgiris","1 : 0","Žalgiris","2023-03-19, 17:55	 	Žalgiris
	1 : 0	
Riteriai	„Sportima“","Žalgiris","Riteriai"
45,"2023-03-19, 15:00","Šiauliai","3 : 0","Sūduva","2023-03-19, 15:00	 	Šiauliai
	3 : 0	
Sūduva	Šiaulių „Gytarių“ stadionas","Šiauliai","Sūduva"
46,"2023-03-19, 13:00","Panevėžys","2 : 1","K. Žalgiris","2023-03-19, 13:00	 	Panevėžys
	2 : 1	
K. Žalgiris	„Žemynos“ progimnazijos stadionas","Panevėžys","K. Žalgiris"
47,"2023-03-18, 17:00","Banga","2 : 1","Banga","2023-03-18, 17:00	 	Dainava
	2 : 1	
Banga	Marijampolės futbolo arenos maniežas","Dainava","Banga"
48,"2023-03-18, 15:00","Hegelmann","2 : 0","Džiugas","2023-03-18, 15:00	 	Hegelmann
	2 : 0	
Džiugas	LFF Kauno treniruočių centro st.","Hegelmann","Hegelmann"
49,,,,,"3 turas",,
50,"2023-03-15, 19:30","Riteriai","0 : 0","Dainava","2023-03-15, 19:30	 	Riteriai
	0 : 0	
Dainava	„Sportima“","Riteriai","Dainava"
51,"2023-03-15, 19:00","Sūduva","0 : 2","Panevėžys","2023-03-15, 19:00	 	Sūduva
	0 : 2	
Panevėžys	Marijampolės futbolo arenos maniežas","Panevėžys","Panevėžys"
52,"2023-03-15, 18:00","Banga","2 : 0","Džiugas","2023-03-15, 18:00	 	Banga
	2 : 0	
Džiugas	Gargždų m. stadionas","Banga","Džiugas"
53,"2023-03-14, 20:00","K. Žalgiris","1 : 1","Žalgiris","2023-03-14, 20:00	 	K. Žalgiris
	1 : 1	
Žalgiris	Marijampolės futbolo arenos maniežas","K. Žalgiris","Žalgiris"
54,"2023-03-14, 18:00","Šiauliai","3 : 1","Hegelmann","2023-03-14, 18:00	 	Šiauliai
	3 : 1	
Hegelmann	Šiaulių „Gytarių“ stadionas","Šiauliai","Hegelmann"
55,,,,,"2 turas",,
56,"2023-03-12, 17:55","Riteriai","0 : 4","Panevėžys","2023-03-12, 17:55	 	Riteriai
	0 : 4	
Panevėžys	„Sportima“","Panevėžys","Panevėžys"
57,"2023-03-12, 15:00","Džiugas","0 : 1","Dainava","2023-03-12, 15:00	 	Džiugas
	0 : 1	
Dainava	„Ateities“ progimnazijos stadionas","Džiugas","Dainava"
58,"2023-03-11, 17:30","Banga","1 : 0","Žalgiris","2023-03-11, 17:30	 	Žalgiris
	1 : 0	
Banga	„Sportima“","Žalgiris","Banga"
59,"2023-03-11, 13:00","Sūduva","2 : 0","Hegelmann","2023-03-11, 13:00	 	Sūduva
	2 : 0	
Hegelmann	Marijampolės futbolo arenos maniežas","Sūduva","Hegelmann"
60,"2023-03-10, 19:30","K. Žalgiris","0 : 0","Šiauliai","2023-03-10, 19:30	 	K. Žalgiris
	0 : 0	
Šiauliai	Marijampolės futbolo arenos maniežas","K. Žalgiris","Šiauliai"
61,,,,,"1 turas",,
62,"2023-03-05, 17:55","Žalgiris","2 : 3","Žalgiris","2023-03-05, 17:55	 	Žalgiris
	2 : 3	
Džiugas	„Sportima“","Žalgiris","Džiugas"
63,"2023-03-05, 15:00","Banga","0 : 4","Panevėžys","2023-03-05, 15:00	 	Banga
	0 : 4	
Panevėžys	Gargždų m. stadionas","Panevėžys","Panevėžys"
64,"2023-03-04, 20:00","Hegelmann","3 : 0","Dainava","2023-03-04, 20:00	 	Hegelmann
	3 : 0	
Dainava	Marijampolės futbolo arenos maniežas","Hegelmann","Hegelmann"
65,"2023-03-04, 17:00","Sūduva","2 : 4","K. Žalgiris","2023-03-04, 17:00	 	Sūduva
	2 : 4	
K. Žalgiris	Marijampolės futbolo arenos maniežas","Sūduva","K. Žalgiris"
66,"2023-03-03, 19:30","Riteriai","0 : 1","Šiauliai","2023-03-03, 19:30	 	Riteriai
	0 : 1	
Šiauliai	„Sportima“","Riteriai","Šiauliai"
